Wavelet,Average MAE,Average Compression Rate,Average MAE (Single Term),Average Compression Rate (Single Term)
bior3.7,0.1272979696303606,0.202423095703125,0.07325113838165999,0.46932220458984375
db29,0.12739452840834856,3.960357666015625,0.07544924425370991,5.168853759765625
bior3.3,0.12741133669316768,0.06479644775390625,0.07408660976104438,0.24237060546875
db27,0.1280653883367777,3.2900543212890625,0.0784244591191411,4.3679962158203125
db32,0.12859596323668956,5.299186706542969,0.07442139138057828,6.7223968505859375
db24,0.1291853587396443,2.4862060546875,0.07274602467827498,3.3862838745117188
db35,0.12981690110638738,6.606834411621094,0.07884463347196578,8.268516540527344
db10,0.13055792651250958,0.30287933349609375,0.07388067314401268,0.623504638671875
db21,0.13071582857519387,1.7019577026367188,0.07506699744351208,2.4446334838867188
db38,0.1310200669981539,8.344642639160156,0.07409879449903965,10.269790649414062
sym20,0.13195346585586668,1.5469131469726562,0.06986802118979395,2.241455078125
sym16,0.13212681321427225,0.9070205688476562,0.06854373945370316,1.429473876953125
bior2.2,0.13246659500300884,0.04201507568359375,0.06992835310734809,0.20076751708984375
db18,0.13274367194697262,1.1683349609375,0.07692079612091184,1.7728347778320312
bior2.6,0.13324545510411262,0.14971923828125,0.07540241513699293,0.39208984375
rbio5.5,0.13346111165583133,0.11692047119140625,0.07354289230816066,0.3362579345703125
sym6,0.13355252270698548,0.11692047119140625,0.06316168030276895,0.3362579345703125
db13,0.13361714945286512,0.5287628173828125,0.07493837654031812,0.9423370361328125
sym12,0.13372711607441307,0.4609375,0.06672024949640036,0.8418197631835938
rbio3.9,0.1339849579744041,0.30287933349609375,0.07454724324755371,0.623504638671875
sym18,0.1342574973769486,1.1683349609375,0.07085128192678095,1.7728347778320312
sym4,0.1345435700789094,0.06479644775390625,0.06020060650482774,0.24237060546875
sym10,0.1351369477890432,0.30287933349609375,0.06707182620167733,0.623504638671875
db15,0.1352515677794814,0.7564620971679688,0.0683115575004369,1.2407760620117188
db16,0.1359455366536975,0.9070205688476562,0.06960209737867117,1.429473876953125
db37,0.13629228836596013,7.663169860839844,0.0758259829223156,9.497642517089844
db34,0.13725323935970665,6.114990234375,0.0784358937844634,7.694465637207031
db19,0.1375382679872215,1.3297958374023438,0.07760888345018029,1.9782943725585938
db31,0.13804995068535209,4.797737121582031,0.07279417329691351,6.146797180175781
db12,0.13839084996134043,0.4609375,0.07710563721247017,0.8418197631835938
db22,0.13845268709138037,1.9569168090820312,0.07237216807752847,2.7498626708984375
db28,0.1385856626741588,3.6819305419921875,0.07797936652079225,4.823921203613281
db25,0.13875789449214934,2.6460494995117188,0.075555120754987,3.6030807495117188
sym19,0.1389567389898002,1.3297958374023438,0.07487471384555101,1.9782943725585938
sym15,0.13899010950401425,0.7564620971679688,0.07445323107391597,1.2407760620117188
bior6.8,0.13938042722642421,0.23291778564453125,0.06898108314797283,0.5258865356445312
sym11,0.1399690988689661,0.366851806640625,0.07406628958769143,0.716766357421875
rbio2.8,0.14028860792666673,0.23291778564453125,0.06623139871433377,0.5258865356445312
bior4.4,0.14103007750883698,0.08156585693359375,0.06562171043269337,0.27931976318359375
bior3.1,0.14149360855594278,0.0303955078125,0.0785239793330431,0.17163848876953125
db9,0.1421854467906058,0.23291778564453125,0.0668863573063165,0.5258865356445312
rbio6.8,0.14280398100540043,0.23291778564453125,0.07074948227219284,0.5258865356445312
rbio3.7,0.14441890856251122,0.202423095703125,0.07649067375138402,0.46932220458984375
sym7,0.14564412996172904,0.14971923828125,0.07351923072747886,0.39208984375
db6,0.14757601490318775,0.11692047119140625,0.06887479108721017,0.3362579345703125
bior2.4,0.157476710421592,0.08156585693359375,0.07314399666935205,0.27931976318359375
bior2.8,0.15985836932212114,0.23291778564453125,0.07702413750253617,0.5258865356445312
rbio4.4,0.16356300868541002,0.08156585693359375,0.07211695068068802,0.27931976318359375
rbio1.3,0.16512010768651963,0.04201507568359375,0.05032658470645547,0.20076751708984375
rbio2.4,0.1653156827017665,0.08156585693359375,0.0681679576035589,0.27931976318359375
sym3,0.16768646361380815,0.04201507568359375,0.07571785304583609,0.20076751708984375
db3,0.16768646361976863,0.04201507568359375,0.07571785303987563,0.20076751708984375
coif1,0.1707238460883498,0.04201507568359375,0.07714467380195857,0.20076751708984375
rbio3.5,0.173556794577837,0.11692047119140625,0.08152510866373777,0.3362579345703125
db2,0.18785605662167074,0.0303955078125,0.07052261822000146,0.17163848876953125
sym2,0.18785605662167074,0.0303955078125,0.07052261822000146,0.17163848876953125
rbio2.2,0.26837574556320903,0.04201507568359375,0.09984371183514595,0.20076751708984375
bior1.1,0.2922514118120074,0.017822265625,0.1434585350960493,0.142822265625
db1,0.2922514118120074,0.017822265625,0.1434585350960493,0.142822265625
haar,0.2922514118120074,0.017822265625,0.1434585350960493,0.142822265625
rbio1.1,0.2922514118120074,0.017822265625,0.1434585350960493,0.142822265625
bior1.5,0.30840568881481883,0.08156585693359375,0.14637246326059103,0.27931976318359375
rbio3.3,0.319228925691545,0.06479644775390625,0.10351430992856622,0.24237060546875
bior1.3,0.35565179216861725,0.04201507568359375,0.14554782725200058,0.20076751708984375
rbio3.1,1.6210391906261443,0.0303955078125,0.4536915229290724,0.17163848876953125
